worker_id,condition,num_correct,num_trials,accuracy
P-MN4Q70OG-ZR65MK,no-ai,11.0,20.0,0.55
P-MN4QFLHS-WO5HMW,no-ai,12.0,20.0,0.6
P-MN4QR6CY-096LZE,with-ai,16.0,20.0,0.8
P-MN4QRFUY-5YFWZO,with-ai,12.0,20.0,0.6
P-MN4QYM0V-Y2P79R,no-ai,11.0,20.0,0.55
P-MN4R5D37-QSKUAZ,no-ai,10.0,20.0,0.5
P-MN4RCPOP-47G0AC,with-ai,15.0,20.0,0.75
P-MN4RL5SN-IWZXI4,with-ai,12.0,20.0,0.6
P-MN4SB1JM-XI7KWK,no-ai,7.0,20.0,0.35
P-MN4SBZ4P-VW2H9K,with-ai,14.0,20.0,0.7
P-MN6QYDFE-Q5U4K4,with-ai,13.0,20.0,0.65
P-MN6R7MGL-LOF01Y,no-ai,13.0,20.0,0.65
P-MNJ0SBB7-Y2S0PH,with-ai,10.0,20.0,0.5
