id,worker_id,condition,trial_id,ground_truth,participant_answer,time_spent_ms,created_at
008d73df-6414-4640-adaf-d220a8cc6fd3,P-MN4QR6CY-096LZE,with-ai,96,NOT_SARCASM,NOT_SARCASM,26286,2026-03-24 15:03:15.646169+00
02327937-c3d9-4193-9a46-6b9e6582bc73,P-MN4SB1JM-XI7KWK,no-ai,100,NOT_SARCASM,SARCASM,828,2026-03-24 15:43:47.001893+00
03de86d9-43f4-4741-a71d-6d53a3280ff4,P-MN4QR6CY-096LZE,with-ai,174,SARCASM,SARCASM,13173,2026-03-24 15:01:45.839215+00
04406cbc-94e6-4822-af8a-8b2c04a4d71d,P-MN4QRFUY-5YFWZO,with-ai,128,NOT_SARCASM,SARCASM,5170,2026-03-24 15:02:39.583906+00
05409948-2571-4d00-aa7c-822987cd7b89,P-MN4QR6CY-096LZE,with-ai,39,SARCASM,NOT_SARCASM,19196,2026-03-24 15:05:25.836113+00
08e7f452-0146-4161-b6eb-23459385134a,P-MNJ0SBB7-Y2S0PH,with-ai,44,NOT_SARCASM,NOT_SARCASM,1308,2026-04-03 14:59:00.159322+00
09785ee0-136e-4659-956f-7f8f56732c29,P-MN6R7MGL-LOF01Y,no-ai,141,NOT_SARCASM,NOT_SARCASM,10800,2026-03-26 00:49:27.646846+00
09d0661a-fcf9-4435-bf1e-f49b259d711a,P-MN4Q70OG-ZR65MK,no-ai,139,SARCASM,SARCASM,41246,2026-03-24 14:55:51.792002+00
0ab4a684-1b47-47a3-abef-3ef69d109460,P-MN4QR6CY-096LZE,with-ai,149,NOT_SARCASM,NOT_SARCASM,9004,2026-03-24 15:00:57.577918+00
0ae27a1e-ae56-4364-8490-b52ea23f6e93,P-MN4R5D37-QSKUAZ,no-ai,132,SARCASM,NOT_SARCASM,8995,2026-03-24 15:13:44.821542+00
0b2e5b4e-3c13-4a43-80eb-1a51203345f6,P-MN4QFLHS-WO5HMW,no-ai,13,SARCASM,SARCASM,15896,2026-03-24 14:53:33.948661+00
0b9880ad-2d8d-4325-b408-57e62e5386ca,P-MN4R5D37-QSKUAZ,no-ai,148,NOT_SARCASM,SARCASM,8692,2026-03-24 15:15:37.162859+00
0c03e808-9260-476e-908d-8bce5b32a57c,P-MN4W2OI8-KUVBRR,no-ai,67,SARCASM,SARCASM,81677,2026-03-24 17:35:04.41171+00
0cdd9f02-0c41-418f-82ec-ad913ffffe01,P-MN6QYDFE-Q5U4K4,with-ai,5,SARCASM,NOT_SARCASM,14028,2026-03-26 00:46:59.434362+00
0daa4757-ddbc-4c34-bf3a-9a513012d040,P-MN4SBZ4P-VW2H9K,with-ai,59,SARCASM,SARCASM,3433,2026-03-24 15:44:21.796561+00
0fe8ce1a-dba9-4af7-b0a0-01239d6edcdb,P-MN4QFLHS-WO5HMW,no-ai,114,SARCASM,SARCASM,14303,2026-03-24 14:55:48.855891+00
10732861-e776-41f0-a848-579070b460d6,P-MN4SB1JM-XI7KWK,no-ai,87,SARCASM,NOT_SARCASM,901,2026-03-24 15:43:47.984409+00
10ce3219-f626-402d-b7e9-f93443488ded,P-MN4SBZ4P-VW2H9K,with-ai,231,SARCASM,SARCASM,532,2026-03-24 15:44:36.915945+00
11089d86-0da6-4831-a79b-eabe299c538f,P-MN4RL5SN-IWZXI4,with-ai,162,SARCASM,SARCASM,3874,2026-03-24 15:23:53.440129+00
11f96d09-6e09-4daf-8348-efab71f7eafd,P-MN4Q70OG-ZR65MK,no-ai,27,SARCASM,SARCASM,7054,2026-03-24 14:53:56.596565+00
126ddd10-cbae-4952-98e7-503e739c32b1,P-MN4QRFUY-5YFWZO,with-ai,209,SARCASM,SARCASM,2235,2026-03-24 15:02:49.499722+00
12aa4dbd-f39e-4274-bac1-34f28b27d4a6,P-MN4R5D37-QSKUAZ,no-ai,190,NOT_SARCASM,NOT_SARCASM,15974,2026-03-24 15:15:13.548343+00
12cfe930-bb26-4b38-8b7e-fcf523338618,P-MN4Q70OG-ZR65MK,no-ai,23,SARCASM,NOT_SARCASM,19194,2026-03-24 14:56:11.076796+00
12dbfe3c-e41f-467b-9a3e-6b5705a0ef79,P-MN4RL5SN-IWZXI4,with-ai,103,NOT_SARCASM,SARCASM,13380,2026-03-24 15:27:45.813883+00
163c070d-eb3a-4b11-8e59-09de40036ddd,P-MN4Q70OG-ZR65MK,no-ai,132,SARCASM,NOT_SARCASM,29173,2026-03-24 14:49:25.204977+00
16a374b0-1929-4446-b776-36f43884bccd,P-MN4Q70OG-ZR65MK,no-ai,230,SARCASM,SARCASM,21364,2026-03-24 14:48:01.567392+00
170be41d-e147-476f-b7ab-11f766db5d42,P-MN4RL5SN-IWZXI4,with-ai,231,SARCASM,SARCASM,33419,2026-03-24 15:26:51.272472+00
177e457a-5659-4f6c-a831-3fa30796684a,P-MN4RCPOP-47G0AC,with-ai,156,SARCASM,SARCASM,6938,2026-03-24 15:17:41.063375+00
17dc187c-21fa-489c-b674-fa5744174cae,P-MN4R5D37-QSKUAZ,no-ai,135,NOT_SARCASM,NOT_SARCASM,8652,2026-03-24 15:15:45.91482+00
187ed352-c1e8-4795-84a8-628af7d1a121,P-MN4SB1JM-XI7KWK,no-ai,18,NOT_SARCASM,SARCASM,940,2026-03-24 15:43:44.691137+00
19764fcb-8463-4a56-81c9-838e267d13cf,P-MN4QR6CY-096LZE,with-ai,123,NOT_SARCASM,SARCASM,13685,2026-03-24 15:02:23.894627+00
1a06af59-5ab3-4279-959a-f21593c445fc,P-MN4RL5SN-IWZXI4,with-ai,135,NOT_SARCASM,NOT_SARCASM,5820,2026-03-24 15:24:18.044927+00
1afcf5e2-584b-44b5-8b33-c34a4a268490,P-MN4QRFUY-5YFWZO,with-ai,30,SARCASM,SARCASM,35355,2026-03-24 15:02:06.918079+00
1ba36f49-c450-4c77-8a3b-5ad3ada35a81,P-MNJ0SBB7-Y2S0PH,with-ai,178,NOT_SARCASM,SARCASM,1914,2026-04-03 14:58:55.131468+00
1d16e0e5-fa2b-4134-a854-bb6dd4fbbc0b,P-MN4QFLHS-WO5HMW,no-ai,127,SARCASM,SARCASM,11764,2026-03-24 14:54:59.120975+00
1d174f33-ccd6-4f61-9e43-f003ad1f4f6e,P-MN4RCPOP-47G0AC,with-ai,45,SARCASM,SARCASM,14822,2026-03-24 15:17:30.186475+00
1d9da332-940d-4a50-ae34-9700e7ac94aa,P-MN4SB1JM-XI7KWK,no-ai,127,SARCASM,SARCASM,1806,2026-03-24 15:43:49.875548+00
1ed5734b-173f-49b6-abed-4d40ad91da6f,P-MN4SB1JM-XI7KWK,no-ai,25,SARCASM,SARCASM,712,2026-03-24 15:43:39.34137+00
215d8876-ac97-4fac-bc78-085910b87c5d,P-MN6QYDFE-Q5U4K4,with-ai,151,NOT_SARCASM,SARCASM,316,2026-03-26 00:42:03.248777+00
22399e26-9aa5-41ea-a461-d9a960e4cb32,P-MN4W2OI8-KUVBRR,no-ai,89,SARCASM,SARCASM,278292,2026-03-24 17:33:42.400864+00
230c336b-f9c5-49ac-970b-5a9c6e6ca353,P-MN4RCPOP-47G0AC,with-ai,211,NOT_SARCASM,NOT_SARCASM,990,2026-03-24 15:18:13.339556+00
245f1c3f-9781-496b-98d1-db62db1b1d41,P-MN6R7MGL-LOF01Y,no-ai,129,SARCASM,SARCASM,6257,2026-03-26 00:51:09.876737+00
2636ac9f-4e6a-4724-a83c-167ec693dbfd,P-MN4Q70OG-ZR65MK,no-ai,214,NOT_SARCASM,SARCASM,20417,2026-03-24 14:56:31.573311+00
26eec0f3-b062-455f-ab9b-cd0a61b38466,P-MN4QYM0V-Y2P79R,no-ai,177,NOT_SARCASM,SARCASM,8288,2026-03-24 15:10:50.401886+00
2c175fff-9919-427b-b680-643edd91935c,P-MN4QR6CY-096LZE,with-ai,193,NOT_SARCASM,SARCASM,25642,2026-03-24 15:00:34.262667+00
2c970853-a29f-406a-9d32-889c5803efbb,P-MN4QR6CY-096LZE,with-ai,181,NOT_SARCASM,NOT_SARCASM,15435,2026-03-24 15:06:10.607464+00
301a8ff7-09a0-4950-b7ca-db63b3a6ce1f,P-MN4RL5SN-IWZXI4,with-ai,56,NOT_SARCASM,NOT_SARCASM,4760,2026-03-24 15:26:12.532534+00
304ffa03-d99a-491d-be27-4317b3c16a5d,P-MNJ0SBB7-Y2S0PH,with-ai,154,NOT_SARCASM,NOT_SARCASM,934,2026-04-03 14:59:08.392077+00
