id,worker_id,condition,completion_code,trials_completed,accuracy,created_at
1ca2319d-20da-42a4-86d0-0d129b61e9ab,P-MN4QYM0V-Y2P79R,no-ai,SARC-KAD8,20,0.55,2026-03-24 15:12:14.923625+00
2a23e6bd-3bdd-43f8-a26b-9c0fdd91a014,P-MN4SB1JM-XI7KWK,no-ai,SARC-RH7H,20,0.35,2026-03-24 15:43:58.015935+00
3c157030-f93f-4271-ac74-84d4faf6fac4,P-MN4RCPOP-47G0AC,with-ai,SARC-KR8F,20,0.75,2026-03-24 15:18:15.304723+00
4153fa23-130f-43f0-b628-b96c8aa9f1ad,P-MN4SBZ4P-VW2H9K,with-ai,SARC-JCBX,20,0.7,2026-03-24 15:44:40.160366+00
5dc808c5-8ba2-4955-ba19-dc4784d9086a,P-MN4QR6CY-096LZE,with-ai,SARC-UA7U,20,0.8,2026-03-24 15:06:11.031173+00
6ba4bd54-5c41-42d1-b300-cb71da44e2da,P-MN4R5D37-QSKUAZ,no-ai,SARC-3ECV,20,0.5,2026-03-24 15:16:03.283823+00
8e4376db-5293-4ae6-b7bc-d6a2736dd602,P-MN6R7MGL-LOF01Y,no-ai,SARC-E58X,20,0.65,2026-03-26 00:52:11.781675+00
9a4e1766-7d64-4ed5-8d0a-89d38215455b,P-MNJ0SBB7-Y2S0PH,with-ai,SARC-L8R3,21,0.476190476190476,2026-04-03 14:59:15.048512+00
a7615d26-ae0a-449c-aa47-6ac80050f8b4,P-MN4Q70OG-ZR65MK,no-ai,SARC-2YKS,20,0.55,2026-03-24 14:58:12.096124+00
a86c5e0d-f0d8-4471-a794-567c40528d0f,P-MNJ0SBB7-Y2S0PH,with-ai,SARC-GYJH,20,0.5,2026-04-03 14:59:14.5983+00
b196e4f8-454c-4d0d-a8e1-c53e5cee51a0,P-MN4QFLHS-WO5HMW,no-ai,SARC-YQRK,20,0.6,2026-03-24 14:58:03.716969+00
be460f17-07c4-49d3-97a0-e5d9505ae199,P-MN4RL5SN-IWZXI4,with-ai,SARC-NUJU,20,0.6,2026-03-24 15:28:32.700983+00
d63b874c-3f6e-4f0b-8efc-fb9283f5b49c,P-MN4QFLHS-WO5HMW,no-ai,SARC-ETYM,21,0.571428571428571,2026-03-24 14:58:04.322446+00
df66b675-df3c-4ad0-aaf4-fe38ef94943d,P-MN6QYDFE-Q5U4K4,with-ai,SARC-R9D9,20,0.65,2026-03-26 00:47:06.622523+00
f6c045a5-1fc3-4cb5-ae93-8a026097eea1,P-MN4QRFUY-5YFWZO,with-ai,SARC-CWGC,20,0.6,2026-03-24 15:03:21.458611+00
